Filename,Paths
ngen.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ngen.exe
ngen.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\ngen.exe
ngen.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe
ngen.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe
odbcconf.exe,C:\Windows\System32\odbcconf.exe
odbcconf.exe,C:\Windows\SysWOW64\odbcconf.exe
odbcconf.exe,C:\Windows\System32\odbcconf.exe
odbcconf.exe,C:\Windows\SysWOW64\odbcconf.exe
odbcconf.exe,C:\Windows\System32\odbcconf.exe
odbcconf.exe,C:\Windows\SysWOW64\odbcconf.exe
offlinescannershell.exe,C:\Program Files\Windows Defender\Offline\OfflineScannerShell.exe
onedrivestandaloneupdater.exe,C:\Users\.*\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe
onedrivestandaloneupdater.exe,C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe
onedrivestandaloneupdater.exe,C:\Program Files (x86)\Microsoft OneDrive\OneDriveStandaloneUpdater.exe
pcalua.exe,C:\Windows\System32\pcalua.exe
pcalua.exe,C:\Windows\System32\pcalua.exe
pcalua.exe,C:\Windows\System32\pcalua.exe
pcwrun.exe,C:\Windows\System32\pcwrun.exe
pcwrun.exe,C:\Windows\System32\pcwrun.exe
pktmon.exe,C:\windows\system32\pktmon.exe
pktmon.exe,C:\windows\syswow64\pktmon.exe
pktmon.exe,C:\windows\system32\pktmon.exe
pktmon.exe,C:\windows\syswow64\pktmon.exe
pnputil.exe,C:\Windows\system32\pnputil.exe
presentationhost.exe,C:\Windows\System32\Presentationhost.exe
presentationhost.exe,C:\Windows\SysWOW64\Presentationhost.exe
presentationhost.exe,C:\Windows\System32\Presentationhost.exe
presentationhost.exe,C:\Windows\SysWOW64\Presentationhost.exe
print.exe,C:\Windows\System32\print.exe
print.exe,C:\Windows\SysWOW64\print.exe
print.exe,C:\Windows\System32\print.exe
print.exe,C:\Windows\SysWOW64\print.exe
print.exe,C:\Windows\System32\print.exe
print.exe,C:\Windows\SysWOW64\print.exe
printbrm.exe,C:\Windows\System32\spool\tools\PrintBrm.exe
printbrm.exe,C:\Windows\System32\spool\tools\PrintBrm.exe
provlaunch.exe,C:\windows\system32\provlaunch.exe
psr.exe,C:\windows\system32\psr.exe
psr.exe,C:\windows\syswow64\psr.exe
rasautou.exe,C:\Windows\System32\rasautou.exe
rdrleakdiag.exe,C:\windows\system32\rdrleakdiag.exe
rdrleakdiag.exe,C:\Windows\SysWOW64\rdrleakdiag.exe
rdrleakdiag.exe,C:\windows\system32\rdrleakdiag.exe
rdrleakdiag.exe,C:\Windows\SysWOW64\rdrleakdiag.exe
rdrleakdiag.exe,C:\windows\system32\rdrleakdiag.exe
rdrleakdiag.exe,C:\Windows\SysWOW64\rdrleakdiag.exe
reg.exe,C:\Windows\System32\reg.exe
reg.exe,C:\Windows\SysWOW64\reg.exe
reg.exe,C:\Windows\System32\reg.exe
reg.exe,C:\Windows\SysWOW64\reg.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework\v.*\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\regasm.exe
regasm.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\regasm.exe
regedit.exe,C:\Windows\regedit.exe
regedit.exe,C:\Windows\regedit.exe
regini.exe,C:\Windows\System32\regini.exe
regini.exe,C:\Windows\SysWOW64\regini.exe
register-cimprovider.exe,C:\Windows\System32\Register-cimprovider.exe
register-cimprovider.exe,C:\Windows\SysWOW64\Register-cimprovider.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\RegSvcs.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\RegSvcs.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\RegSvcs.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\RegSvcs.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\RegSvcs.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\RegSvcs.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\RegSvcs.exe
regsvcs.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\RegSvcs.exe
regsvr32.exe,C:\Windows\System32\regsvr32.exe
regsvr32.exe,C:\Windows\SysWOW64\regsvr32.exe
regsvr32.exe,C:\Windows\System32\regsvr32.exe
regsvr32.exe,C:\Windows\SysWOW64\regsvr32.exe
regsvr32.exe,C:\Windows\System32\regsvr32.exe
regsvr32.exe,C:\Windows\SysWOW64\regsvr32.exe
regsvr32.exe,C:\Windows\System32\regsvr32.exe
regsvr32.exe,C:\Windows\SysWOW64\regsvr32.exe
replace.exe,C:\Windows\System32\replace.exe
replace.exe,C:\Windows\SysWOW64\replace.exe
replace.exe,C:\Windows\System32\replace.exe
replace.exe,C:\Windows\SysWOW64\replace.exe
rpcping.exe,C:\Windows\System32\rpcping.exe
rpcping.exe,C:\Windows\SysWOW64\rpcping.exe
rpcping.exe,C:\Windows\System32\rpcping.exe
rpcping.exe,C:\Windows\SysWOW64\rpcping.exe
rundll32.exe,C:\Windows\System32\rundll32.exe
rundll32.exe,C:\Windows\SysWOW64\rundll32.exe
rundll32.exe,C:\Windows\System32\rundll32.exe
rundll32.exe,C:\Windows\SysWOW64\rundll32.exe
rundll32.exe,C:\Windows\System32\rundll32.exe
rundll32.exe,C:\Windows\SysWOW64\rundll32.exe
rundll32.exe,C:\Windows\System32\rundll32.exe
rundll32.exe,C:\Windows\SysWOW64\rundll32.exe
rundll32.exe,C:\Windows\System32\rundll32.exe
rundll32.exe,C:\Windows\SysWOW64\rundll32.exe
runexehelper.exe,C:\windows\system32\runexehelper.exe
runonce.exe,C:\Windows\System32\runonce.exe
runonce.exe,C:\Windows\SysWOW64\runonce.exe
runscripthelper.exe,C:\Windows\WinSxS\amd64_microsoft-windows-u..ed-telemetry-client_31bf3856ad364e35_10.0.16299.15_none_c2df1bba78111118\Runscripthelper.exe
runscripthelper.exe,C:\Windows\WinSxS\amd64_microsoft-windows-u..ed-telemetry-client_31bf3856ad364e35_10.0.16299.192_none_ad4699b571e00c4a\Runscripthelper.exe
sc.exe,C:\Windows\System32\sc.exe
sc.exe,C:\Windows\SysWOW64\sc.exe
sc.exe,C:\Windows\System32\sc.exe
sc.exe,C:\Windows\SysWOW64\sc.exe
schtasks.exe,C:\windows\system32\schtasks.exe
schtasks.exe,C:\windows\syswow64\schtasks.exe
schtasks.exe,C:\windows\system32\schtasks.exe
schtasks.exe,C:\windows\syswow64\schtasks.exe
scriptrunner.exe,C:\Windows\System32\scriptrunner.exe
scriptrunner.exe,C:\Windows\SysWOW64\scriptrunner.exe
scriptrunner.exe,C:\Windows\System32\scriptrunner.exe
scriptrunner.exe,C:\Windows\SysWOW64\scriptrunner.exe
setres.exe,C:\windows\system32\setres.exe
settingsynchost.exe,C:\Windows\System32\SettingSyncHost.exe
settingsynchost.exe,C:\Windows\SysWOW64\SettingSyncHost.exe
settingsynchost.exe,C:\Windows\System32\SettingSyncHost.exe
settingsynchost.exe,C:\Windows\SysWOW64\SettingSyncHost.exe
sftp.exe,C:\Windows\System32\OpenSSH\sftp.exe
ssh.exe,C:\windows\system32\OpenSSH\ssh.exe
ssh.exe,C:\windows\system32\OpenSSH\ssh.exe
stordiag.exe,C:\windows\system32\stordiag.exe
stordiag.exe,C:\windows\syswow64\stordiag.exe
stordiag.exe,C:\windows\system32\stordiag.exe
stordiag.exe,C:\windows\syswow64\stordiag.exe
syncappvpublishingserver.exe,C:\Windows\System32\SyncAppvPublishingServer.exe
syncappvpublishingserver.exe,C:\Windows\SysWOW64\SyncAppvPublishingServer.exe
tar.exe,C:\Windows\System32\tar.exe
tar.exe,C:\Windows\SysWOW64\tar.exe
tar.exe,C:\Windows\System32\tar.exe
tar.exe,C:\Windows\SysWOW64\tar.exe
tar.exe,C:\Windows\System32\tar.exe
tar.exe,C:\Windows\SysWOW64\tar.exe
ttdinject.exe,C:\Windows\System32\ttdinject.exe
ttdinject.exe,C:\Windows\Syswow64\ttdinject.exe
ttdinject.exe,C:\Windows\System32\ttdinject.exe
ttdinject.exe,C:\Windows\Syswow64\ttdinject.exe
tttracer.exe,C:\Windows\System32\tttracer.exe
tttracer.exe,C:\Windows\SysWOW64\tttracer.exe
tttracer.exe,C:\Windows\System32\tttracer.exe
tttracer.exe,C:\Windows\SysWOW64\tttracer.exe
unregmp2.exe,C:\Windows\System32\unregmp2.exe
unregmp2.exe,C:\Windows\SysWOW64\unregmp2.exe
